,https://www.qemu.org/,https://www.qemu.org/download,https://www.qemu.org/support,https://www.qemu.org/contribute,https://www.qemu.org/documentation,https://www.qemu.org/blog,https://www.qemu.org/license.html,https://www.qemu.org/docs/master/about/deprecated.html,https://www.qemu.org/contribute/report-a-bug/,https://www.qemu.org/2017/02/04/the-new-qemu-website-is-up/,https://www.qemu.org/docs/master/,https://www.qemu.org/download/#source,https://www.qemu.org/blog/category/releases/index.html,https://www.qemu.org/2023/04/20/qemu-8-0-0/,https://www.qemu.org/2023/03/24/python/,https://www.qemu.org/2023/03/08/kvm-forum-cfp/,https://www.qemu.org/blog/2023/02/,https://www.qemu.org/blog/2022/11/,https://www.qemu.org/blog/2022/03/,https://www.qemu.org/blog/2022/02/,https://www.qemu.org/blog/2021/08/,https://www.qemu.org/blog/2021/03/,https://www.qemu.org/blog/2021/02/,https://www.qemu.org/blog/2021/01/,https://www.qemu.org/blog/2020/11/,https://www.qemu.org/blog/2020/07/,https://www.qemu.org/blog/2020/02/,https://www.qemu.org/blog/2019/11/,https://www.qemu.org/blog/2019/05/,https://www.qemu.org/blog/2019/02/,https://www.qemu.org/blog/2019/01/,https://www.qemu.org/blog/2018/06/,https://www.qemu.org/blog/2018/05/,https://www.qemu.org/blog/2018/02/,https://www.qemu.org/blog/2017/11/,https://www.qemu.org/blog/2017/08/,https://www.qemu.org/blog/2017/05/,https://www.qemu.org/blog/2017/03/,https://www.qemu.org/blog/2017/02/
https://www.qemu.org/,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
https://www.qemu.org/download,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
https://www.qemu.org/support,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
https://www.qemu.org/contribute,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
https://www.qemu.org/documentation,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
https://www.qemu.org/blog,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
https://www.qemu.org/license.html,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
https://www.qemu.org/docs/master/about/deprecated.html,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
https://www.qemu.org/contribute/report-a-bug/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
https://www.qemu.org/2017/02/04/the-new-qemu-website-is-up/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
https://www.qemu.org/docs/master/,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
https://www.qemu.org/download/#source,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
